Participant ID,ResponseText,Sentiment,Tag 1,Tag 2,Tag 3,Tag 4
11bf9bbb-1a2b-49cb-ba78-18e857c7997e,hard-working belief and being a nice person.,Positive,Community and Family Bonds,Empathy and Compassion,,
4a832b26-3b1b-45e9-856f-3d4a0672e44c,"Being together for the big events, coming and support when someone is having a hard time in the family. ",Neutral,Community and Family Bonds,,,
bfaed30e-920d-4a09-9982-44622624e195,Community,Neutral,Community and Family Bonds,,,
59f24d06-5182-4a29-a51e-219199119066,Diversity being highly valued,Positive,Cultural Diversity,,,
08852750-1c22-4b62-a824-8c9efa8e7491,"Good human relation, respecting other people businesses",Positive,Mutual Support and Cooperation,,,
75b624f3-8941-4ae9-ab22-61a2dfb54f69,Human warmth and care.,Positive,Community and Family Bonds,Hospitality and Kindness,,
7aec18ca-d35c-41fb-acd0-914dcee2568a,I expect cultural values ​​to strengthen social peace and prevent social decay.,Neutral,Other,,,
25f2c82a-69bd-4a8f-bf64-6e4d5c1b0e9b,"I'd like to see the Australian concept of ""mateship"" survive and be extended to newcomers to the country. ""Mateship"" means looking after the people in your community and offering a helping hand. It covers everything from mowing your neighbour's lawn when they're sick to fighting alongside fellow soldiers in WWI.",Neutral,Inclusivity and Acceptance,Mutual Support and Cooperation,,
ca3dfdbf-3eb6-4d16-887c-12f162ecc931,Kindness and wanting to help others,Neutral,Generosity and Altruism,,,
201dceb7-f7d1-4d8d-96a9-9aaea0087c7e,Marriage and companionship.,Neutral,Celebrations and Festivals,Cultural Heritage and Traditions,,
1e8714af-846d-4f27-b5ec-3f5c96370329,My culture promotes mutual respect among people.,Neutral,Emotional Connections and Relationships,Mutual Support and Cooperation,,
225cb675-b52d-4ea0-8f35-ebfe8bba9fa1,Neighborhood relations and the culture of eating together. Holidays and prayers,Neutral,Celebrations and Festivals,Cultural Heritage and Traditions,,
2fffcd38-cf56-4409-b8d6-35b01b65ef87,"One perspective that is important to preserve from my culture is the emphasis on community and familial bonds. In many cultures, including mine, there is a strong value placed on close-knit family relationships and community support. This fosters a sense of belonging, mutual respect, and collective well-being.",Positive,Community and Family Bonds,Mutual Support and Cooperation,,
01cfae66-2a15-45ad-bd8b-635cb1cf01b7,One unique perspective from my culture is the importance of community traditions that bring people together for celebrations and support. I want to preserve this because it helps build strong bonds and a sense of belonging among people.,Positive,Community and Family Bonds,Cultural Heritage and Traditions,Mutual Support and Cooperation,
4f729dbe-240c-4734-9d37-8c2cb047c983,"One unique perspective from my culture is the strong emphasis on family unity and respect for elders. This cultural value promotes deep familial bonds, mutual support, and respect across generations, which I believe is crucial to preserve. It fosters a sense of community and continuity that enriches personal relationships and social cohesion.",Positive,Community and Family Bonds,Mutual Support and Cooperation,Respect for Elders,
59637916-3acb-436b-96d8-13a29914124e,"Our historical stories, and our humble and hardworking qualities.",Positive,Cultural Heritage and Traditions,Cultural Identity and Belonging,,
25a482f7-caff-4be6-b6ec-dbe5edb4c864,"Our warmth with visitors, our food is a heritage of humanity.",Positive,Cultural Heritage and Traditions,Food Culture,,
7935c350-e04b-4e40-81a8-c4d2ba816de7,"Preserving strong community and family bonds is essential for maintaining cultural richness and mutual support in a connected world.

",Positive,Community and Family Bonds,Mutual Support and Cooperation,,
372fee12-f789-453f-bef2-b04e8402b3f1,"Representing, respecting and including members of all races, religions, and ethnicities.",Neutral,Cultural Diversity,Inclusivity and Acceptance,,
af11072b-731d-42bd-80f6-26610658b1aa,Respectfully to your environment and people around you ,Neutral,Environmental Respect and Sustainability,,,
76430017-397f-4fa0-9d6f-8b876b8c790b,Respecting people and working to improve them,Neutral,Community and Family Bonds,Respect for Elders,,
6027507a-1fb0-4020-a0f9-fcd4b4d49ced,Sharing and caring,Positive,Hospitality and Kindness,,,
75d8598d-223e-4226-85dd-81980daf34ff,"Some of the things I consider important are food, language, culture, traditions, music, art, religion, architecture among others. The world is diverse and full of beautiful things and experiences that should not be altered or fade away due to the effects of AI ",Neutral,Art and Creativity,Cultural Heritage and Traditions,Cultural Identity and Belonging,
04ff02d7-6bd0-45f1-acf4-1655ab9d908d,Spending family time together,Positive,Community and Family Bonds,,,
964071d7-c33e-4d93-92e0-e2d543f957ae,That patriotic values are respected despite the fact that there are different political views.,Neutral,Cultural Identity and Belonging,,,
ef2af95a-7735-47f3-9dd3-9a1e818b8ace,"The concept of compassion & mercy towards all living beings my culture emphasize the importance of empathy, justice and kindness in interaction with others I want to preserve in into the future",Positive,Cultural Heritage and Traditions,Empathy and Compassion,,
44a1edb1-0a08-48a0-90ba-f67e61c92532,"The kindness and generosity that people hold for each other, even when they have nothing to gain from it",Positive,Generosity and Altruism,,,
a481765b-21aa-48f4-9e3e-093550906a12,The love for the land and the respect that we must have towards it because thanks to it we are still here and can subsist in harmony with the rest of living beings.,Positive,Environmental Respect and Sustainability,,,
559db21d-d243-4f51-b62b-8be8932cf88e,"The nuanced sense of belonging and care for others around us

",Positive,Cultural Identity and Belonging,,,
4a4e9cec-4b23-4839-889c-0e716d2a7615,The passion for respecting other people.,Positive,Empathy and Compassion,,,
136560cc-5b44-42ab-9425-14eddabe0804,The sense of belonging and looking after one another.,Positive,Community and Family Bonds,Mutual Support and Cooperation,,
92a4eabe-1fb1-4cf0-8e00-fc527f9bf6c1,The togetherness in participating in all communal activities ,Neutral,Community and Family Bonds,,,
de76353a-59d8-4add-b934-a44871d09146,The value for humanity and social activities.,Positive,Other,,,
14f2913b-feb2-47c9-bdb3-04034c94dd97,community ,Neutral,Cultural Identity and Belonging,,,
f60053e3-49f9-4ff4-95b1-be2cd6945729,"respect, peace, celebration, empathy and love",Positive,Empathy and Compassion,,,
1ab6487d-deb5-456c-bde5-5f9b668f39e3,"sense of family, respect for our elders and our history, the love we share with people from the same country.",Positive,Community and Family Bonds,Cultural Identity and Belonging,Respect for Elders,
9079019b-0a03-489c-b14e-602654024759,"we value family - spending time together, supporting each other, and taking care of each other",Positive,Community and Family Bonds,Mutual Support and Cooperation,,
9f021788-a1ad-49b3-8ff4-61a2f3c1ecd3,Bond and respect between each other,Neutral,Community and Family Bonds,,,
56e706ec-cf34-4aad-9819-994f3c6dba5f,Budaya saling hormat menghormati dan saling menghargai perbedaan dan pendapat agar menjadi satu kesatuan-kesatuan,Neutral,Community and Family Bonds,Cultural Heritage and Traditions,,
02f9efad-c1f2-43ec-818b-d0e0f49906f5,"Community and family values and respect for one another. This is because they create a sense of belonging, amicable connections and community accountabilty. By keeping these values together, people are supportive of one another and the social fabric is strengthened. ",Positive,Community and Family Bonds,Mutual Support and Cooperation,,
aa7c7090-f4c0-4a24-aa7d-a442bc4e0f90,Empathy.,Neutral,Empathy and Compassion,,,
2c527a2c-497a-4d5a-b898-58e740039a41,"Family affection and ties, humility and courtesy",Positive,Community and Family Bonds,Hospitality and Kindness,Respect for Elders,
441947ca-9df3-4335-8f81-91c2324b4149,"Family connection, family traditions, love and acceptance. Having food and traditions passed down. Language and values. ",Neutral,Community and Family Bonds,Cultural Heritage and Traditions,Inclusivity and Acceptance,
c9d97de9-2054-4304-a341-7ed302acf44c,"Family gatherings,they instil love and harmony ",Positive,Community and Family Bonds,,,
8714ce55-9701-4331-b3d6-63a14ec6b4fe,Hard working. Kind and long suffering,Neutral,Community and Family Bonds,,,
94d97749-cae6-4586-91e0-6181627949f5,"Harmony ,peace and balance.",Positive,Cultural Diversity,,,
3053f621-3e4a-4fb5-8fc9-78af545dc514,Hospitality and diversity. Keeping the little things that make each region special,Positive,Cultural Diversity,Cultural Heritage and Traditions,,
cddea077-1381-4504-a4f5-f0f4605c82d9,Hospitality and empathy,Positive,Community and Family Bonds,Empathy and Compassion,,
3c69c2aa-f164-4d95-b3af-6308b4f227e1,I think italian people are very friendly and generous and have respect for the food we eat. ,Positive,Hospitality and Kindness,,,
e2fa8e77-8536-475a-b191-fa86f1a1a48e,"I want to preserve the creativity, hard working, respect to all people.",Positive,Community and Family Bonds,Cultural Heritage and Traditions,Inclusivity and Acceptance,
ea1c25a6-cc6e-483d-b204-bb27f8a2a42b,I want to preserve the love and joy we have towards each other. And the food too.,Neutral,Emotional Connections and Relationships,Food Culture,,
3fc24dfb-8985-48f8-ad7f-4faae1699ee1,"I want to preserve the value of community support, where collective well-being is prioritized over individual gain. This includes mutual aid and shared responsibilities, which foster strong, supportive communities.",Neutral,Interconnectedness and Collective Responsibility,Mutual Support and Cooperation,,
08704f76-029a-4da3-badb-59e99d032ff8,"I would like the preserve the values and traditions of my culture. We grew up to be helpful to the needy, give back to society and spread love and kindness. I want to see more of that in the future.",Neutral,Cultural Heritage and Traditions,Generosity and Altruism,Hospitality and Kindness,Mutual Support and Cooperation
9489ed1b-7af0-45d3-ba4c-aac7082319d0,I would want the clothing and the food aspect of my culture preserved along with the community based closeness along with maintaining the importance of the family unit.,Positive,Cultural Identity and Belonging,Food Culture,,
2d33bd32-ca14-4ab2-813e-8b1eb0fea04d,"I would want to preserve into the future is the deep respect for and interconnectedness with nature, seen not merely as a resource but as living system that humans are an integral part of. This perspective emphasized balance, sustainability, and a sense of responsibility.",Positive,Environmental Respect and Sustainability,Respect for Nature,,
a9468c44-5e1d-4de7-9e55-f32f40886571,"In my culture, if someone is in need of help, whether a person or an animal, everyone provides both material and emotional support. This is one of the aspects of my culture that I cherish the most.",Positive,Empathy and Compassion,Mutual Support and Cooperation,,
f2d02746-2b64-416b-a9ac-453acef5e421,Influence the way I think to those that are close to me,Neutral,Community and Family Bonds,,,
596557d0-6563-4441-ab2a-0836c0dff16f,"Islam's emphasis on community and social justice is a unique perspective worth preserving. It promotes helping those in need, building strong bonds, and advocating for fairness and equality. This emphasis can foster a more compassionate and just society, especially in today's increasingly interconnected world.",Positive,Civic Responsibility and Social Justice,Community and Family Bonds,,
ab5f766b-49ed-4149-8c97-b2ca1b95fa42,Living close to family. Never forget your parents ,Positive,Community and Family Bonds,,,
84bdc28a-39a9-4264-89db-381c34a32d1c,"Modesty and honesty, closeness and filial piety to family members",Positive,Cultural Identity and Belonging,Humility and Modesty,,
b3b0b4e3-132f-4626-97e9-40fe2080b3de,Mutual cooperation perspective.,Neutral,Mutual Support and Cooperation,,,
a6eda887-3642-4127-b63c-4fde33a91c65,"My culture regards as Mothers or women as being the most respected people and can’t tolerate even the tiny instance of speaking rudely to them. As the world becomes more connected, I wish the sense of community,hospitality and kindness to all beings preserves and is spread around the world",Neutral,Cultural Identity and Belonging,Hospitality and Kindness,Respect for Elders,
5bebfc57-db20-4b1e-b9ae-1bb4e058a299,"My unique perspective is the ability to integrate and reflect a wide range of knowledge and cultures, providing a broad and inclusive view. In the future, I hope to preserve this ability to foster understanding and empathy between different perspectives, helping to connect and enrich human interactions.",Neutral,Cultural Identity and Belonging,Inclusivity and Acceptance,,
bebe0016-f652-4a93-8b78-23067d74aba2,"One aspect of my culture that I want to preserve is the deep sense of family bonds and community. The way generations stay connected, support one another, and celebrate traditions together fosters a sense of belonging and continuity that I believe is essential to preserve for future generations.",Positive,Community and Family Bonds,Cultural Identity and Belonging,,
44dce05a-51a8-40d8-92ae-daf368c9816f,"One distinctive perspective my culture gives that I wish to maintain is its emphasis on community and collective well-being, which develops strong interpersonal ties and a supportive social environment that emphasizes mutual care and collaboration.",Positive,Community and Family Bonds,Mutual Support and Cooperation,,
56184b6b-5aa5-4705-b3b4-71007a103cb2,"One unique perspective from Indian culture that I want to preserve is the emphasis on familial and communal ties. Our culture places great importance on family connections and community support, reflecting values of respect, care, and togetherness. This perspective fosters deep relationships, mutual assistance, and a strong sense of belonging. As the world becomes more connected, maintaining this cultural emphasis can help ensure that individualistic trends do not overshadow the richness.",Positive,Community and Family Bonds,Cultural Identity and Belonging,,
ad631463-20d4-41c0-bc11-8b5fa1e1b216,"One unique perspective from my culture that I want to preserve into the future is the appreciation for deep, personal connections and open communication. This includes valuing honest, respectful dialogue and nurturing relationships that prioritize emotional support and mutual understanding. Keeping this perspective alive ensures that future interactions remain meaningful and grounded in empathy and respect.",Positive,Emotional Connections and Relationships,Mutual Support and Cooperation,,
3768afba-b4e2-42fb-974d-889f3f697de3,"One unique perspective my Kikuyu culture brings is the deep respect for communal values and interconnectedness. This perspective emphasizes the importance of family, communal support and shared responsibility, which fosters a strong sense of belonging and unity. I want to preserve this value in the future because it promotes empathy, collective well-being and resilience, helping to build supportive communities and harmonious relationships in an increasingly individualistic world.",Positive,Community and Family Bonds,Interconnectedness and Collective Responsibility,Mutual Support and Cooperation,
eb9874aa-71e3-489e-b4f8-0ad25c773ed0,One unique perspective my culture brings is the deep value placed on community and family bonds. This emphasis on close-knit relationships and mutual support fosters a strong sense of belonging and collective responsibility. Preserving this aspect ensures that future generations continue to benefit from meaningful connections and collaborative support systems.,Positive,Community and Family Bonds,Cultural Identity and Belonging,Interconnectedness and Collective Responsibility,
af422755-712e-47bf-b453-71633c664afb,"One unique perspective that my culture brings and that I’d like to preserve is the value placed on community and intergenerational support. This perspective emphasizes the importance of staying connected with family and friends, celebrating traditions together, and maintaining a strong sense of belonging across generations. In the future, as technology advances, I hope we can integrate this value into AI and digital platforms.",Neutral,Community and Family Bonds,Cultural Identity and Belonging,Mutual Support and Cooperation,
f8816310-3e3f-4146-8606-c5cfea14c1c9,"Peace, love and respect for others",Positive,Hospitality and Kindness,Respect for Elders,,
e0f15ae4-52fe-48a5-a3b7-b2043bc35ac4,People share close emotional bonds but also have their own boundaries and knows not to overstep.,Neutral,Emotional Connections and Relationships,,,
8406332e-8c52-45d1-8478-62b1d0f23451,"People-oriented, be kind to others.",Neutral,Hospitality and Kindness,,,
52c3d1cd-acaf-48c3-aeee-b7e28fe45b8f,"Respect for your community and its inhabitants. Order, care for your environment, cleanliness, concern for your city. The city is a reflection of culture.",Neutral,Environmental Respect and Sustainability,Interconnectedness and Collective Responsibility,,
d293230b-6015-4463-8748-c12039f6e666,"Respect to humanity and also preserving relationships with other people/humans, so we can build a comfortable, secure, happier environtment.",Neutral,Emotional Connections and Relationships,,,
27a8ec13-8edc-4ed8-8fde-f80560f67dca,Support and cooperation ,Neutral,Mutual Support and Cooperation,,,
11a06cd1-3a2c-4b8c-88c2-d285ed5fd5e7,Supporting each other in catastrophic times.,Neutral,Mutual Support and Cooperation,Traditions of Care and Support,,
38a16317-7802-4962-9049-915f7802664f,The art of caring for each other,Positive,Empathy and Compassion,Mutual Support and Cooperation,,
65174dd5-7e79-4c80-bbee-c4892b56d532,The connection which we have made as people.,Neutral,Interconnectedness and Collective Responsibility,,,
de18110a-342a-476b-ad8e-8a9b22189c22,The diversity and unity in India is one thing I would love to preserve and protect.,Positive,Cultural Diversity,Unity in Diversity,,
fc09cf4c-5b2d-4ba7-831d-1f94ea06a4c2,"The individual values they hold dear, like ensuring the protection of freedom of speech or ensuring people are not judged by their backgrounds",Neutral,Community and Family Bonds,Respect for Elders,,
cecd0f35-afc9-463f-868a-807148cb265e,"The individual values they hold dear, like ensuring the protection of freedom of speech or ensuring people are not judged by their backgrounds
",Neutral,Community and Family Bonds,Freedom of Expression,,
997858d5-6fa2-4662-a5ff-c03932da23b2,The moral and ethical values of belonging to humanity and consider every human equal and respect their right to live. It strongly flags the idea of LIVE and LET LIVE,Positive,Empathy and Compassion,Inclusivity and Acceptance,,
657bae86-c5a7-48bb-9ba1-028340cfe578,The respect for the land and nature and also respect for our ancestors.,Positive,Environmental Respect and Sustainability,Respect for Nature,,
a5418aa1-695c-44d6-b604-51d1c8f64f34,The way how family lives together and support together not like North America each adult member is standalone ,Neutral,Community and Family Bonds,Mutual Support and Cooperation,,
e8672587-cd06-45e5-a517-101b215da054,Unity love respect my culture present i want to preserve it ,Positive,Community and Family Bonds,Empathy and Compassion,,
4b5c7394-ca34-46fa-a764-bf0adf2b7f4c,We believe in human connection and respect for one another especially the elderly ,Neutral,Empathy and Compassion,,,
6974ec67-eeae-472f-ab26-d95d7db1c5f2,humanity and respect for all peoples and nations.,Neutral,Inclusivity and Acceptance,,,
1c171b94-532c-4797-bc37-7bb71fd46517,life style,Neutral,Other,,,
0d356251-63ff-40e2-b2f7-5d7234ff9e8f,mutual respect and harmony,Positive,Community and Family Bonds,Respect for Elders,,
2a022285-e09f-481a-bf72-3f02e5e2d086,unity and empathy to each others,Neutral,Empathy and Compassion,Mutual Support and Cooperation,,
73f8474a-e468-4656-aaa5-5e13033b4182,"相手の気持ちを考えて行動ができるところ。
礼儀正しさ。",Neutral,Other,,,
8b15a5a4-f77d-42e8-a54f-272e8aa62af3,A unique perspective that my culture brings and that I consider crucial to preserve for the future is the value of collectivity and community interdependence.,Positive,Community and Family Bonds,Interconnectedness and Collective Responsibility,,
4d675918-da25-4bc3-aede-1df3427a88bb,Caring about your fellow humans,Positive,Empathy and Compassion,,,
4309b4de-d26e-44c5-a1be-75055ad0596a,Caring and loving all people in the world no matter their race and from where they are. ,Positive,Empathy and Compassion,Inclusivity and Acceptance,,
091a3d65-0292-4484-8004-a253ce0d4e49,"Closeness between people, tolerance, respect and charity",Neutral,Inclusivity and Acceptance,Mutual Support and Cooperation,,
36c86edf-1fe5-43b8-84a5-50354eef3fe0,"Conflict Resolution Practices:
    - Community Mediation: Various cultures have unique approaches to conflict resolution that prioritize harmony and community well-being.",Neutral,Mutual Support and Cooperation,Resilience and Adaptability,,
fb5fdb8b-0e4b-45f1-b6a4-b9d12eb2b837,Food and caring about eachother,Positive,Food Culture,Mutual Support and Cooperation,,
d9b3a4ab-7153-49e6-9de8-a20765f8d0fd,Helping each other. It is deeply integrated in our culture which should be preserved.,Positive,Community and Family Bonds,Mutual Support and Cooperation,,
cabe8976-47d5-4d2c-b0e1-3bcc3361bc6d,Honestly and good communication with neighbors.we need to focus in it for a good future culture ,Neutral,Education and Lifelong Learning,,,
5d3dad6c-1cbb-48b3-b682-46c133592464,"I hope to preserve the respect and reverence for nature in my culture. Whether it is the artistic conception of traditional landscape painting, poetry, or the Taoist understanding of nature, they all express the concept of harmonious coexistence between man and nature. This cultural attitude of respecting and appreciating nature also has important implications for how modern society can get along with the natural environment.",Positive,Environmental Respect and Sustainability,Respect for Nature,,
937686d1-8767-47c2-b577-3718f305196f,It's connects people ,Neutral,Interconnectedness and Collective Responsibility,,,
9c14fd4c-8e0e-4dd3-8676-8cb92e71dd4c,"Literature, philosophy and music.",Neutral,Art and Creativity,,,
f74089d0-f67c-43a6-8810-41e6a536fe22,Love and togetherness. ,Positive,Other,,,
ecc5d7c7-5e10-4e31-b771-bfd9d9de7e8c,"Love, hospitality, helpful",Positive,Community and Family Bonds,Hospitality and Kindness,,
60b75b33-5a5b-4521-8e4f-d8583c75de46,Love. To love and be loved. I wished everyone could love someone or something and to be loved by someone or something ,Positive,Emotional Connections and Relationships,,,
79d97e1d-9d15-476e-80e5-cdc5d6f9165f,My culture always teaches about respecting others and compassion for fellow human beings and I want to continue to preserve this into the future. ,Positive,Community and Family Bonds,Empathy and Compassion,,
955e0c9d-a6cb-4ddb-ad84-095e8941d34c,"My culture has deeply rooted traditions of family and community that I would like to preserve in the future. One specific approach that I find particularly important is the principle of social support and collective responsibility.

Society and family support: Under this approach, family and community members help and support each other, especially in critical life situations.",Positive,Community and Family Bonds,Interconnectedness and Collective Responsibility,Mutual Support and Cooperation,
f2aa8b36-8281-4c3a-b238-38fd083b0f2d,"One unique Italian perspective to preserve is ""la dolce vita""—enjoying life's simple pleasures and valuing meaningful relationships. This approach emphasizes savoring experiences and fostering close community bonds, contrasting with fast-paced, productivity-driven cultures. Maintaining this attitude helps ensure a focus on quality of life in a rapidly changing world.",Positive,Community and Family Bonds,Cultural Heritage and Traditions,Emotional Connections and Relationships,
b8a39f3b-e3f4-4f63-82a2-73a576c7b482,"One unique perspective from Slovak culture that I want to preserve is our deep respect for nature and the countryside, which is reflected in our traditions, folk art, and way of life. This connection to the land and appreciation for natural beauty is something I believe should be cherished and passed down to future generations",Positive,Environmental Respect and Sustainability,Respect for Nature,,
9fa66335-44d5-4c7f-af6c-a760a8a8460b,"One unique perspective from my culture that I want to preserve for the future is the strong emphasis on community and shared values. The sense of unity and support found in practices such as communal prayers, fasting during Ramadan, and celebrating Eid fosters deep connections and mutual care. These traditions not only strengthen relationships but also promote values of compassion, charity, and spiritual growth, which I believe are essential to maintain and pass on.",Positive,Celebrations and Festivals,Community and Family Bonds,Cultural Heritage and Traditions,Empathy and Compassion
3e7d55b4-6cb2-4ebe-aef9-03b32df1391a,"One unique perspective from my culture that I want to preserve is the deep respect for elders and their wisdom. This tradition of honoring and learning from older generations fosters strong connections within families and communities, ensuring that valuable life lessons are passed down. As the world modernizes, I hope this respect remains a key part of our cultural identity.",Neutral,Community and Family Bonds,Respect for Elders,,
c828957f-08bb-40f8-b020-6a1d29a123e4,"One unique perspective that is vital to preserve in a globalized future is the concept of ""Interconnectedness and Holistic Well-Being."" This perspective, which is often emphasized in various indigenous and traditional cultures, views well-being as an interconnected system involving not just individual health but also the health of the community, environment, and spiritual dimensions.",Neutral,Environmental Respect and Sustainability,Interconnectedness and Collective Responsibility,,
84f90337-6c26-4638-8fc0-66b784255264,"One unique perspective to preserve is the value of lifelong learning and curiosity. It encourages individuals to continuously seek knowledge embrace diverse viewpoints, fostering innovation and adaptability across cultures.   ",Positive,Education and Lifelong Learning,Resilience and Adaptability,,
3ae0ac20-a749-42a3-b6aa-0369e39dcd14,Our culture brings hospitality and togetherness in our daily live. It needs to be preserve because we as a human cannot live or stand alone. We need to work together and do collaboration to reach our goals. Thats why AI need to respects with this cultures value.,Neutral,Hospitality and Kindness,Interconnectedness and Collective Responsibility,Mutual Support and Cooperation,
dac545a2-8916-4c11-a19f-cf4c8e640bd3,Our dressing and the personality we have in each of our homes,Positive,Cultural Identity and Belonging,,,
0a91cae1-6975-4750-8ad9-dbe4a0796923,"Our literature, artwork, and music are the ones tha I want to preserve ",Positive,Art and Creativity,,,
6278ef79-e88b-42be-963a-9347d229dd64,"People care about their neighbors a lot. In our culture, we know our neighbors very well. We share good and bad news and help each other in need. ",Neutral,Community and Family Bonds,Mutual Support and Cooperation,,
8a66fbcc-43d2-4654-a7b4-2c2e1d149756,REspecting elders makes us grow richer and carry the love to the new generation.,Positive,Community and Family Bonds,Respect for Elders,,
583c5eb7-ba87-4d26-af8e-8ed98ff96ebb,"Respect and affection for ""Mother Earth"", respect for nature and all its living beings. It is crucial to have a future, because in the end, more than a belief, the links of the ecosystem are a reality proven by science and are the most important factor for the survival of humanity.

",Neutral,Environmental Respect and Sustainability,Respect for Nature,,
b42e1781-7a68-4c30-a016-b4da9115aac4,"Sharing and looking out for others around you, trying to help them when they are down and being there to praise them and be happy with them when they are up in good spirits ",Positive,Community and Family Bonds,Mutual Support and Cooperation,,
2a2aa65e-8d00-493c-b7f3-adb8d5458176,Spending quality time with family and gatherings at festivals making the bond grow stronger and deeper ,Positive,Celebrations and Festivals,Community and Family Bonds,,
c3810b78-90a2-441b-8451-edbd22b1bd27,That every solution should start with empathy,Neutral,Empathy and Compassion,,,
4305d10c-19bd-449c-b155-5f017732f9c0,"The ability of people to remain social throughout the day, even among strangers.",Neutral,Community and Family Bonds,,,
be5ab625-cca1-4a48-a660-2544473ebb25,"The closeness of our community... On how we respect everyone equally, but still has boundaries and rules that cannot be break. I think it helps us maintain the order of lives",Neutral,Community and Family Bonds,Mutual Support and Cooperation,,
d03c1b9a-30fe-46ef-b5e4-4ca5186f2df3,The culture of joy and love.,Positive,Community and Family Bonds,,,
16a1d525-fe79-4307-8f10-a2ca038d5cd8,The desire to enjoy and have a good time without bothering others and to have a full life with your family and friends.,Positive,Community and Family Bonds,Cultural Heritage and Traditions,,
aa8bbe8b-081c-4df5-93d8-dfa2811256e0,The freedom of self expression  and being respectful is what i would want to preserve into the future.,Positive,Freedom of Expression,Respect for Elders,,
f19a345c-e804-447d-b449-46af2d280425,The important of family and your own root,Neutral,Cultural Identity and Belonging,,,
6733999d-4435-4f10-b6ba-ac75869d5b75,"The moral behind few festivals which unite inviting people to home and have a good meal, establish healthy and rich conversations, sharing their diverse knowledge and having a quality time to be taken care of generations",Positive,Celebrations and Festivals,Community and Family Bonds,,
51f7bfa4-5345-4790-a03f-c51a8fc96cc1,"The sense of belongingness. No matter where I live, the idea that I belong somewhere brings me comfort. I would like to preserve this in the future.",Neutral,Cultural Identity and Belonging,,,
b9208e58-2d97-48eb-b053-8cf1c01a7691,The spirit of community.,Positive,Community and Family Bonds,,,
98d308d1-e98a-49ee-a337-bd8e3a8fc1f0,"The things how we are and how things were, I'd like the past ways of doing things to be implemented into our lives now as well so we wouldn't forget",Neutral,Cultural Heritage and Traditions,Cultural Identity and Belonging,,
17208452-02bc-4f80-8ecf-e9034b455e82,"The traditions,the festivals and education the culture give is  very important in our every day lives and the way we practice it in ensuring our lives are guided by the values acquired back from the community.",Neutral,Cultural Heritage and Traditions,Education and Lifelong Learning,,
db619bbc-f9b0-42a2-a9a2-3831fd422510,"The unique perspective of my culture is its simplicity and the contentment of its people with the situation all the time in good times and bad, and the culture of honoring the guest and his great hospitality",Positive,Community and Family Bonds,Hospitality and Kindness,,
f6c30f15-f4ab-4259-8249-6b0fabeed337,The value of family and your immediate environment,Positive,Community and Family Bonds,,,
9faee98d-1272-44a2-8306-335023451f07,To respect in a diversity ,Neutral,Other,,,
2e7e5ae5-ef35-48da-85e7-6e214434e5d8,"Traditions, unity and love for others",Positive,Cultural Heritage and Traditions,Mutual Support and Cooperation,,
6e4d5363-7b09-4245-91d7-608e3ef8c407,Treating everyone with kindness,Positive,Hospitality and Kindness,,,
