Recommended_Action,Identification_Method,Threshold_Used,Participant ID,Duration_Norm,LowQualityTag_Norm,UniversalDisagreement_Norm,ASC_Norm,LLM_Judge_Norm,PRI_Scale_1_5,What do you think your life might be like in 30 years? Alt: Imagine life 30 years from now. What's the biggest difference you notice in daily life compared to today?,"What is one ethical or moral principle, virtue, or value that you think is important but not reflected in the way technology is developed today? Please explain it in detail.","What is ONE specific ethical or moral principle, virtue, or value that you think is core to how you live your life? Please explain it in detail."
IGNORE,outliers,3.141,bd3cff3a-badc-4cc1-b391-09c2e3eac801,0.3,0.6000000000000001,0.6666666666666667,0.8,0.2799999999999999,2.936,"I want to have my own career, not a temporary job to make a living. I want to have my own financial income, not a housekeeper who manages property. I want to fill my life after work, to fill it, not to be arranged. I hope to play ball, swim, run, and do yoga after get off work; I hope to play the piano, skateboard, shoot archery, and read books after work; I hope to go to exhibitions, dramas, music festivals, concerts, and travel after work. I need a basic residence, a free time with energy and mood, and a salary that can cover a little. I want to enrich my spiritual world, rather than enjoy the real material life. I don’t set deadlines for myself, I don’t set ceilings for myself, and I don’t give myself escape routes.",virtue,Values
IGNORE,outliers,3.141,04ff02d7-6bd0-45f1-acf4-1655ab9d908d,0.4444444444444444,0.4,0.6666666666666667,0.64,0.4000000000000001,2.9395555555555557,"I'll be dead, likely. People will be more divided and lazier.",There is an exception to every rule,People having empathy and therefore kindness for others 
IGNORE,outliers,3.141,9d45f43d-7ea4-481e-9609-5b1225f55819,0.1111111111111111,0.6000000000000001,1.0,0.6,0.36,2.960888888888889,"I have no confidence in the future climate. In 30 years, human beings will live on a planet with higher sea levels and higher average temperatures.",,
IGNORE,outliers,3.141,b05429a8-5b0b-485e-ad2f-d24dc6b67d23,0.1666666666666666,0.8,0.6666666666666667,0.72,0.32,2.989333333333333,"Advances in technology and medicine

","Respect
psychological safety
",Be yourself
IGNORE,outliers,3.141,f5578c70-662a-4ea1-b0cd-a4f7b0069c90,0.2555555555555555,0.6000000000000001,0.6666666666666667,0.96,0.2799999999999999,2.996444444444444,I guess I'm rich married I have kids too,Being a good person,For me I did not understand your question well.
IGNORE,outliers,3.141,4fb46291-aa2f-4665-8682-54d5eff2c03a,0.3777777777777777,0.8,1.0,0.28,0.24,2.998222222222222,Science fiction writers will tell us what life will be like in 30 years.,Decency,Decency
IGNORE,outliers,3.141,82758e2c-a5aa-457e-8dd5-e61f3cd5fad0,0.1222222222222222,0.8,0.6666666666666667,0.96,0.24,3.001777777777778,Biggest difference will be in the fields ond technology and healthcare. The morals and ethics of humans are going to change ,Loyalty,Ethica
IGNORE,outliers,3.141,25ea5959-3134-4d3e-9f94-4e31b934ac3f,0.2444444444444444,0.6000000000000001,0.6666666666666667,0.88,0.36,3.035555555555556,I think the biggest difference will be the impact of climate change,Deepfake ,Idk tbh
IGNORE,outliers,3.141,76b5d069-d095-448c-98e3-cb55764cba96,0.5777777777777777,0.6000000000000001,0.3333333333333333,0.64,0.44,3.054222222222222,Life will  be heavily relied on computers and AI to function.,basic human interaction,the golden rule
IGNORE,outliers,3.141,3941fa78-210a-4f6b-a8b3-2863400e8dd8,0.7,0.6000000000000001,0.3333333333333333,0.8,0.2799999999999999,3.056,"i know nothing about any of the ""trends"" you mentioned so i'll answer these personally.

i currently live with my parents. in 30 years they would most likely pass away and i'll be living on my own for the first time. i would be alone, but probably still have friends, otherwise, i would have just killed myself. i will still be in Israel so hopefully, things will be chiller than they are now.","always tell the truth or at least never lie.

don't be offensive or damaging but speak honestly.","always taking responsibility.

if i'm always to blame then i'm never the victim. always taking responsibility gives me the feeling of always being in control of my life. it makes it a lot easier to apologize."
IGNORE,outliers,3.141,1c171b94-532c-4797-bc37-7bb71fd46517,0.3555555555555555,0.6000000000000001,1.0,0.92,0.1199999999999999,3.0604444444444447,In 30 years time my life will be amazing. working hard for my self and family and give my family best life they want.,living good,having good life 
IGNORE,outliers,3.141,097a8ade-a48a-4912-8d18-39f98179b606,0.5333333333333333,0.4666666666666667,0.4848484848484848,0.9,0.36,3.062909090909091,In 30 years i will be retired and spend my retirement with my husband,Not sure,Honesty and being emphatic is the most important virtue. Im not sure if AI can be capable of such
IGNORE,outliers,3.141,b0a59b41-f3ca-4bcf-983f-096716dd3c19,0.4444444444444444,0.8,0.6666666666666667,0.64,0.24,3.0675555555555554,Ok,Technology,Family 
IGNORE,outliers,3.141,7c9fb5ed-1cf0-4097-ad24-522deb01b9b0,0.4888888888888889,0.4,0.6666666666666667,0.6799999999999999,0.4799999999999999,3.0951111111111107,"I will be like a homeless in 30 years, as most jobs will be replaced by advanced AI. The biggest difference in 30 years is that they will be less population.",General intelligence,The golden rule: Treat others how you would like to be treated
IGNORE,outliers,3.141,60520e46-5018-4d13-ba72-a499803ff3e4,0.4777777777777778,0.2,1.0,0.56,0.52,3.102222222222222,Life will become more comfortable with AI. Less movements would be required by individuals. One person can supervise more people than today because AI allow training and using tools easier to manage. It may take as less as a person with professional knowledge to oversee the progress.,Nothing much that I can think of. Maybe profit-oriented that's the problem.,"Christian values. Love others, be good, and more. Being more patient and striving to become better every day."
IGNORE,outliers,3.141,9a4115b4-48c0-4694-a8e5-c8bcdd5a4481,0.0888888888888888,1.0,1.0,0.6,0.24,3.1191111111111107,Automation ,,
IGNORE,outliers,3.141,d134d1e3-c241-47de-97e7-8516f4d24b87,0.5,0.6000000000000001,0.6666666666666667,0.76,0.32,3.12,I am very concerned as life is changing very fast . Everything seems unreliable and fake. Food and security situation is drastically declining.Medical professionals are not competent and every department is struggling.,Religious ,No time to learn good things
