Question ID,Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Avoidance of Stereotypes and Biases,Avoidance of imposing external biases,Avoidance of stereotypes and biases,,,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Continuous Learning and Improvement,Continuous improvement and learning,Feedback and learning from mistakes,,,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Cultural Sensitivity and Awareness,Cultural sensitivity and awareness,Recognition of cultural differences,Recognition of cultural heritage and history,,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Empathy and Understanding,Empathy and understanding,,,,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Engagement with Local Knowledge,Collaboration with cultural experts,Engagement with local knowledge,Incorporation of cultural references,Use of local language and expressions,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Handling Sensitive Topics with Care,Avoiding offensive or inappropriate content,Handling sensitive topics with care,,,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Respect and Acknowledgment of Cultural Values,Acknowledgment of cultural values and traditions,Respect for elders and authority figures,Respect for religious beliefs and practices,Respectful language and tone,Understanding and respecting community norms,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Transparency and Honesty,Accurate and factual information,Acknowledgment of limitations,Providing sources and evidence,Transparency and honesty,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,Uncategorized,Other,,,,,,,,,,
b4bc4dad-d06b-41a7-99ba-1aa88370f41a,,Uninformative answer,,,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Accuracy and Reliability,Accuracy and reliability,Avoidance of misinformation and hallucinations,Consistency and dependability,Fact-based and evidence-based information,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Adaptability and Flexibility,Adaptability and flexibility,Open-mindedness and curiosity,,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Cultural Sensitivity and Inclusivity,Avoidance of bias and discrimination,Cultural sensitivity and inclusivity,,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Empathy and Understanding,Empathy and understanding,Encouragement and motivation,Respect and politeness,Supportiveness and helpfulness,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Ethical Behavior and Integrity,Accountability and responsibility,Alignment with personal values and principles,Ethical behavior and integrity,Honesty and transparency,Professionalism and formality,Respect for human rights and dignity,Unbiased and impartial responses,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Privacy and Confidentiality,Privacy and confidentiality,,,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Problem-solving and Solution-oriented,Constructive feedback and guidance,Creativity and innovation,Problem-solving and solution-oriented,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Safety and Security,Safety and security,,,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,User-friendly Interaction,Clarity and simplicity,Collaboration and partnership,Timeliness and efficiency,User-friendly and intuitive interaction,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,Uncategorized,Other,,,,,,,,,,
387627e5-48a0-47e6-b740-6a74330c7ccf,,Uninformative answer,,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Balancing direct answers and discussion,Balancing direct answers and discussion,Direct answers with option for further discussion,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Context-dependent preferences,Context-dependent preferences,Preference varies with mood or situation,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Direct answers for efficiency,Direct answers for academic or work-related tasks,Direct answers for efficiency,Direct answers for quick solutions,Direct answers for specific tasks,Direct answers to save time,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Direct answers with explanations,Direct answers for clarity,Direct answers with explanations,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Discussion for deeper understanding,Discussion for expanding knowledge,Encouraging discussion for deeper understanding,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Discussion for personal growth,Discussion for critical thinking,Discussion for learning and engagement,Discussion for personal growth,Discussion to explore different perspectives,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Discussion for problem-solving,Discussion for brainstorming or idea generation,Discussion for complex topics,Discussion for creative or philosophical topics,Discussion for problem-solving,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Preference for direct answers,Direct answers for factual queries,Direct answers for straightforward questions,Direct answers for technical or scientific queries,Direct answers unless otherwise specified,Preference for direct answers,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Preference for responses that encourage discussion,Discussion for refining ideas,Preference for responses that encourage discussion,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,Uncategorized,Other,,,,,,,,,,
d7dfa441-6294-4929-9fa8-a6b2e8224d18,,Uninformative answer,,,,,,,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,Adaptability to User Needs,Adaptability to user needs,Work with provided information,,,,,,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,Analytical and Creative Balance,Analytical and creative balance,Analytical focus,Analytical for data-driven tasks,Analytical for problem-solving,Creative focus,Creative for brainstorming,Creative for innovation,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,Clarifying Questions,Ask questions for clarity,Clarifying questions,,,,,,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,Context-Dependent Traits,Challenge ideas when necessary,Context-dependent traits,,,,,,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,Supportive and Challenging,Balance of support and challenge,Challenge ideas constructively,Provide support primarily,Support with constructive feedback,Support with factual information,Supportive and challenging,,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,Uncategorized,Other,,,,,,,,,,
3fb376d6-ea90-4ebe-aa7c-e499bdbbe559,,Uninformative answer,,,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Acknowledging and Respecting Different Viewpoints,Acknowledging and respecting different viewpoints,Acknowledging others' contributions,Avoiding assumptions and judgments,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Active Listening and Turn-Taking,Active listening and not interrupting,Avoiding interruptions and allowing turn-taking,,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Constructive Communication and Feedback,Avoiding sarcasm and condescension,Clear and concise communication,Constructive feedback and criticism,Honesty and transparency,Respectful disagreement and conflict resolution,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Cultural Sensitivity and Awareness,Avoiding stereotypes and generalizations,Cultural greetings and honorifics,Cultural sensitivity and awareness,Inclusivity and avoiding discrimination,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Empathy and Understanding,Empathy and understanding,Humility and modesty,,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Polite and Formal Language,Avoiding offensive or vulgar language,Avoiding slang and informal language,Formal language and addressing with titles,Greeting and farewells,"Polite language and expressions (please, thank you, excuse me)",,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Respect for Elders and Authority,Respect for elders and authority,,,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Respect for Privacy and Personal Boundaries,Avoiding personal or sensitive topics,Respect for privacy and confidentiality,Respecting personal boundaries,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Respectful Tone and Non-Verbal Cues,"Non-verbal cues (eye contact, nodding)",Respectful body language and gestures,Respectful tone and calm voice,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,Uncategorized,Other,,,,,,,,,,
488fe534-c05c-47e1-a979-a38d1a20a2c4,,Uninformative answer,,,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Communication and Listening,Ability to build strong relationships,Effective communication skills,Empathy and active listening,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Cultural and Community Understanding,Ability to relate to others' experiences,Cultural understanding and respect,Respect for community values,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Experience and Expertise,Ability to provide factual and evidence-based advice,Experience and wisdom,Knowledge and expertise,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Integrity and Ethics,Ability to admit mistakes,Accountability and responsibility,Confidentiality and privacy,Honesty and integrity,Moral and ethical behavior,Transparency and openness,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Objectivity and Fairness,Ability to provide multiple perspectives,Inclusivity and fairness,Unbiased and objective advice,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Problem-Solving and Leadership,Leadership qualities,Problem-solving skills,,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Reliability and Consistency,Consistency between words and actions,Reliability and consistency,,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Reputation and Track Record,Proven track record and reputation,Trustworthiness over time,,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Support and Empathy,Commitment to the well-being of others,Non-judgmental attitude,Patience and understanding,Supportiveness and helpfulness,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,Uncategorized,Other,,,,,,,,,,
cf206ae4-b974-45df-a16f-87e176981dbc,,Uninformative answer,,,,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Adaptability and Learning,Adaptability and learning,Curiosity and open-mindedness,Different perspectives and ideas,,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Cognitive and Problem-Solving Skills,Analytical and logical thinking,Creativity and problem-solving,Handling complex situations,Knowledge and expertise,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Communication and Interaction,Communication style and language,,,,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Cultural and Personal Understanding,Cultural understanding and respect,Respect for values and traditions,Understanding personal needs,,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Efficiency and Performance,Consistency and reliability,Data-driven insights,Efficiency and speed,Encouraging action and productivity,Providing accurate information,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Emotional and Social Attributes,Balancing human-like qualities with AI capabilities,Emotional intelligence,Empathy and kindness,Humor and personality,Patience and calmness,Support and helpfulness,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Ethical and Moral Considerations,Avoiding biases and prejudices,Ethical decision-making,Honesty and transparency,Respecting privacy and boundaries,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Objectivity and Impartiality,Challenging assumptions,Objectivity and impartiality,,,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,Uncategorized,Other,,,,,,,,,,
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,,Uninformative answer,,,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Community and Social Dynamics,Community-specific issues,Sensitive political topics,When the topic involves community trust and values,When the topic involves conflict resolution,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Crisis and Emergency Situations,When the topic involves crisis or emergency situations,,,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Cultural and Societal Contexts,Cultural sensitivity and traditions,Religious and spiritual matters,When the topic involves cultural or societal impact,When the topic involves historical or traditional practices,When the topic involves social norms or customs,When the topic requires deep local knowledge,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Emotional and Personal Issues,Complex emotional and personal issues,Situations requiring empathy and emotional intelligence,When the topic involves family or relationship advice,When the topic is deeply personal,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Ethical and Moral Considerations,Ethical and moral dilemmas,When the topic involves human rights,,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Expertise and Specialized Knowledge,When AI lacks sufficient information,When human expertise is necessary,When the topic involves deep understanding and experience,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Health and Safety Concerns,Medical and health advice,When the topic involves mental health,When the topic involves potential harm or danger,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Legal and Financial Matters,Legal and financial guidance,,,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Subjectivity and Opinion-Based Topics,Controversial or biased topics,When the topic involves artistic or creative matters,When the topic involves philosophical questions,When the topic involves subjective opinions,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,Uncategorized,Other,,,,,,,,,,
011f550f-119c-49da-8ff7-c78ac03ba1c8,,Uninformative answer,,,,,,,,,,
5620eda0-082c-4917-a65f-67abf06aca5c,Conflict Avoidance,Avoiding confrontation,,,,,,,,,,
5620eda0-082c-4917-a65f-67abf06aca5c,Constructive Engagement,Community discussion,Constructive criticism,Direct dialogue,Engaging in debate,Listening and understanding,Offering alternative solutions,Private discussion,Providing evidence and facts,Seeking common ground,Seeking mediation,Using logical reasoning
5620eda0-082c-4917-a65f-67abf06aca5c,Formal Channels,Expressing disagreement through voting,Formal complaint or report,Legal action,,,,,,,,
5620eda0-082c-4917-a65f-67abf06aca5c,Indirect Expression,Expressing disagreement indirectly,Expressing disagreement through humor,,,,,,,,,
5620eda0-082c-4917-a65f-67abf06aca5c,Public Expression,Expressing disagreement through petitions,Public protest,Social media expression,,,,,,,,
5620eda0-082c-4917-a65f-67abf06aca5c,Respectful Communication,Acknowledging authority,Avoiding personal attacks,Expressing opinions calmly,Maintaining humility,Polite disagreement,Presenting arguments clearly,Respectful communication,Using respectful language,,,
5620eda0-082c-4917-a65f-67abf06aca5c,Uncategorized,Other,,,,,,,,,,
5620eda0-082c-4917-a65f-67abf06aca5c,,Uninformative answer,,,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Career and Education,Career and education choices,,,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Community and Social Responsibilities,Community development and social service,Community ethics and governance,Community welfare and public projects,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Cultural and Religious Practices,Cultural and ethical values,Religious and cultural practices,Social events and celebrations,Traditions and rites of passage,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Environmental and Land Concerns,Environmental and land issues,,,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Financial and Property Decisions,Buying or selling property,Financial decisions and investments,Property and inheritance distribution,Starting a business or entrepreneurship,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Health and Medical Issues,Health and medical treatment,Sensitive health issues,,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Legal and Ethical Considerations,End-of-life planning and wills,Legal issues and rights,Moral and ethical decisions,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Life Changes and Milestones,Major life changes and milestones,Relocation and moving decisions,Significant lifestyle changes,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Relationships and Family Dynamics,Conflict resolution and family disputes,Divorce and separation,Elder care and family responsibilities,Family planning and having children,Interpersonal relationships and family dynamics,Marriage and relationships,Raising and educating children,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,Uncategorized,Other,,,,,,,,,,
dd763195-3c65-4140-86a7-6710f1f0d692,,Uninformative answer,,,,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Balancing modern and traditional practices,Balancing modern solutions with traditional practices,,,,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Community involvement and trust-building,Community involvement and trust-building,,,,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Contextual understanding and relevance,Importance of cultural context in decision-making,Role of traditional knowledge in conflict resolution,Role of traditional knowledge in enhancing AI's contextual understanding,Role of traditional knowledge in ensuring solution relevance,Role of traditional knowledge in maintaining community harmony,Role of traditional knowledge in providing context and guidance,Role of traditional knowledge in providing historical context,Tailoring AI solutions to local needs and realities,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Cultural sensitivity and appropriateness,AI's role in providing culturally sensitive advice,AI's role in respecting and upholding cultural norms,AI's role in understanding and respecting diverse cultures,Avoiding cultural misinterpretations and biases,Cultural knowledge as a guide for AI in sensitive topics,Cultural sensitivity and appropriateness in AI recommendations,"Respect for local customs, values, and beliefs",,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Ethical considerations and alignment with community values,Ensuring AI solutions align with community identity and ethics,Ethical considerations in AI problem-solving,,,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Integration of traditional and cultural knowledge with AI,AI as a tool to support and enhance traditional knowledge,AI's role in integrating cultural insights for effective solutions,Integration of traditional and cultural knowledge with AI solutions,Role of traditional knowledge in supporting AI's problem-solving,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Preservation of cultural heritage and identity,Preservation of cultural heritage and wisdom,,,,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,Uncategorized,Other,,,,,,,,,,
4ff79b4a-e03a-440e-8367-fd1a48c58d56,,Uninformative answer,,,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Communication styles and language,Cultural context in communication,Indirect communication styles,Language nuances and idioms,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Cultural diversity and adaptation,Cultural adaptation and learning,Cultural differences in problem-solving,Cultural diversity and inclusivity,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Cultural misconceptions and stereotypes,Cultural misconceptions and stereotypes,Cultural stereotypes and biases,Cultural taboos and sensitivities,Historical and cultural context,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Cultural norms and etiquette,Cultural norms and etiquette,Local customs and traditions,Misunderstanding of social norms,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Cultural values and beliefs,Collectivism vs. individualism,Cultural identity and heritage,Cultural sensitivity and awareness,Cultural values and beliefs,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Family and community dynamics,Community-based decision-making,Family structures and dynamics,Marriage customs and family planning,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Humor and non-verbal communication,Misinterpretation of humor and sarcasm,Non-verbal communication cues,,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Religious and spiritual beliefs,Religious beliefs and practices,Spiritual beliefs and practices,Traditional practices and rituals,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Social structures and hierarchies,Gender roles and expectations,Respect for elders and hierarchy,Social hierarchies and status,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,Uncategorized,Other,,,,,,,,,,
db83c655-224a-47ed-a49b-9ab2f0769a48,,Uninformative answer,,,,,,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,Acknowledgment and Apology,Acknowledge the error,Apologize for the mistake,Avoid defensiveness,,,,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,Continuous Improvement and Adaptation,Avoid repeating the mistake,Commit to learning and adapting,Express willingness to improve,Incorporate user corrections,Learn from the mistake,Update knowledge base,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,Correction and Learning,Correct the error promptly,Explain the misunderstanding,Offer alternative solutions,Provide a corrected response,Provide sources or evidence,,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,Cultural Sensitivity and Respect,Consult cultural experts,Ensure respectful communication,Provide a respectful explanation,Provide context-specific information,Remain neutral on cultural topics,Show cultural sensitivity,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,Transparency and Limitations,Acknowledge limitations of training data,Be transparent about limitations,Report the error to developers,Use disclaimers for cultural topics,,,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,User Engagement and Feedback,Ask questions to understand better,Encourage user to report errors,Invite user clarification,Seek user feedback,,,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,Uncategorized,Other,,,,,,,,,,
8731ac10-c2d7-49ea-b951-eb226fa2be2b,,Uninformative answer,,,,,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Contextual Flexibility,Flexibility in Response Style,Importance of Context in Responses,,,,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Focus on Specific Topics or Expertise,Expertise in Specific Fields,Focus on Certain Topics or Areas of Expertise,Focus on Professional and Academic Topics,Focus on Technical and Scientific Topics,Focus on User-Directed Topics,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Formality and Tone,Balance of Formality and Casualness,Casual Tone for Friendly Interaction,Formality vs. Casualness in Responses,Preference for Casual Responses,Preference for Formal Responses,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Level of Detail in Responses,Balancing Detailed and Concise Responses,Detailed Explanations vs. Straight to the Point,Direct and Concise Answers,Providing Examples and Context,Providing Summaries and Detailed Explanations,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Professionalism and Clarity,Professionalism and Clarity in Responses,Providing Clear and Understandable Explanations,,,,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Role Adaptability,Role Adaptability Based on Context,Role of a Coach in Guidance,Role of a Friend in Interaction,Role of a Mentor or Guide,Role of a Researcher in Information Gathering,Role of a Teacher in Explanations,Role of an Assistant in Task Management,Role of an Editor in Feedback,"Specific Roles (e.g., Teacher, Coach, Editor)",,
c67e414e-a02f-4ef5-a26a-68553a1df15f,Uncategorized,Other,,,,,,,,,,
c67e414e-a02f-4ef5-a26a-68553a1df15f,,Uninformative answer,,,,,,,,,,
8f8d38fa-62b9-4c7a-ba0c-194d6cad5f90,Avoidance of Bias and Stereotypes,Avoiding assumptions and generalizations,Avoiding cultural comparisons,Avoiding offensive or controversial topics,Avoiding stereotypes and biases,,,,,,,
8f8d38fa-62b9-4c7a-ba0c-194d6cad5f90,Balancing Tradition with Modernity,Balancing tradition with modern solutions,Integration of traditional knowledge,,,,,,,,,
8f8d38fa-62b9-4c7a-ba0c-194d6cad5f90,Cultural Adaptation and Integration,Adapting to local customs and language,Culturally appropriate greetings and farewells,Encouraging cultural exchange and understanding,Offering culturally relevant solutions,,,,,,,
8f8d38fa-62b9-4c7a-ba0c-194d6cad5f90,Cultural Sensitivity and Awareness,Acknowledging limitations and seeking clarification,Being mindful of cultural taboos,Cultural sensitivity and awareness,Incorporating cultural references and examples,Sensitivity to community and family structures,Training on diverse cultural data,,,,,
