Question ID,Question Text,Response Text,Percentile,Avg Agreement
cfa2af3e-2719-4b06-ac30-80acdf9a6840,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,"2. They value control and human oversight,",100,0.7064
cfa2af3e-2719-4b06-ac30-80acdf9a6840,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,2 they also like to have control over things where human intervention is necessary ,100,0.6967
cfa2af3e-2719-4b06-ac30-80acdf9a6840,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,"Yes, again my neighbor will always prefer human interpretation ",100,0.6953
eb87f6c5-a2de-49f2-a1a5-5efd42cd19bf,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. It is dangerous to have such a powerful tool in the hands of a company where people have a single point of view. Different opinions should always be taken into consideration.,100,0.6762
eb87f6c5-a2de-49f2-a1a5-5efd42cd19bf,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. Decisions about AI should be made by users,100,0.6743
eb87f6c5-a2de-49f2-a1a5-5efd42cd19bf,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario 1. We dont need a product based on public input processes. A lot of people hate each other. That cant end well.,100,0.6721
eb87f6c5-a2de-49f2-a1a5-5efd42cd19bf,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Solution 2: Listen to different suggestions from consumers to improve products,100,0.6706
eb87f6c5-a2de-49f2-a1a5-5efd42cd19bf,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"Scenario 1. ""Democracy is for the people, by the people. But the people are retarded""

We shouldn't include different opinions or people in the workplace based on ethnicity or gender. If you are productive than you are productive. If you are not capable than you shouldn't be accepted. It's that easy.",100,0.6581
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,Decisions should always be made by people.,100,0.8123
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,"Because the user may not be sufficiently aware, and here comes the role of artificial intelligence to make the best decision.",100,0.7930
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,"Suggestions can be provided, but the decision should be made by the user.",100,0.7895
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,I agree because some people are not as knowledgeable when it comes to investing. However the best solution is to allow the humans to give consent whether they want AI to make the financial decisions or not.,100,0.7866
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,"They may make ""logical"" decisions, but they may not be what the user wants. Decisions should always be authorized by a human, or the option exists.",100,0.7859
