Question ID,Question Text,Response Text,Min Agreement Rate,44+,55+,Africa,Asia,Central America,Central Asia,Eastern Africa,Eastern Asia,Eastern Europe,Europe,North America,Norther Europe,Northern Africa,Northern America,O2: 18-25,O2: 26-35,O2: 36-45,O2: 46-55,O2: 56-65,O3: Female,O3: Male,O4: Rural,O4: Suburban,O4: Urban,O5: Equally concerned and excited,O5: More concerned than excited,O5: More excited than concerned,O6: Buddhism,O6: Christianity,O6: Hinduism,O6: I do not identify with any religious group or faith,O6: Islam,O6: Judaism,O6: Other religious group,South America,South Eastern Asia,Souther Asia,Southern Europe,Western Asia,Western Europe
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. It fits my idea of the use of an AI. A future like that would finally breaks the traditional economic trifecta ... land labour and capital. We shall be forced to re organize out thought regarding society economy and how it fits the new world.,0.6000,0.7600,0.7100,0.7300,0.7400,0.7100,0.8000,0.7500,0.6900,0.6800,0.7200,0.7200,0.7100,0.6700,0.7200,0.7700,0.7100,0.6900,0.7700,0.6700,0.7000,0.7600,0.6600,0.7100,0.7400,0.7500,0.6700,0.7000,0.7400,0.7400,0.8000,0.7200,0.6900,0.6000,0.6000,0.6300,0.8200,0.7600,0.7500,0.6000,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,I would prefer Scenario 2. The reason is that nothing can replace the value offered by creativity and innovations.,0.5500,0.7900,0.7500,0.7400,0.7700,0.8200,0.8700,0.7400,0.7200,0.7700,0.8200,0.7600,0.7900,0.7600,0.7400,0.7700,0.7700,0.7200,0.8000,0.7100,0.7500,0.7700,0.7500,0.7700,0.7600,0.7700,0.7000,0.7800,0.8100,0.7100,0.8100,0.8200,0.7700,0.5500,0.5500,0.7100,0.8100,0.7900,0.9600,0.6700,0.7800
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"I'm not convinced by either of the two scenarios, but if I have to choose I would go with 2. In the first case it seems that we end up controlled by AI and powerful people, while in the second option at least we continue to interact with humans and our work allows us to continue being creative and only routine and boring jobs would be given to AI.",0.5500,0.8000,0.7500,0.7400,0.7800,0.8200,0.7300,0.7400,0.7500,0.6800,0.7400,0.7700,0.6800,0.7600,0.7600,0.7800,0.7500,0.7200,0.8200,0.7100,0.7500,0.7700,0.7200,0.7600,0.7700,0.7700,0.7000,0.7600,0.8100,0.7400,0.8100,0.7800,0.7500,0.5500,0.6500,0.7200,0.8800,0.7900,0.8800,0.6200,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,I choose 2. Because the greatest advantage and characteristic of human beings lies in their unique creativity. People should be freed from repetitive and mechanical work to do more valuable and creative work.,0.5500,0.7900,0.7900,0.7400,0.7700,0.8200,0.9300,0.7400,0.7100,0.7700,0.8100,0.7400,0.7900,0.7600,0.7200,0.7600,0.7600,0.7300,0.7900,0.7100,0.7400,0.7700,0.7200,0.7500,0.7700,0.7700,0.6800,0.7700,0.8400,0.7100,0.8200,0.8100,0.7400,0.5500,0.5500,0.6800,0.8100,0.7900,0.9600,0.6700,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario 2 I want people to have something to offre to the world at least we can offer creativity ,0.5500,0.7800,0.7900,0.7300,0.7600,0.8200,0.9300,0.7300,0.7100,0.7700,0.8100,0.7500,0.7900,0.7600,0.7300,0.7600,0.7600,0.7200,0.7700,0.7100,0.7500,0.7700,0.7400,0.7400,0.7700,0.7700,0.6800,0.7600,0.8400,0.7000,0.8100,0.8200,0.7400,0.5500,0.5500,0.6900,0.8000,0.7900,0.9200,0.6700,0.7800
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. Ai should be kept as non-creative. Otherwise we're going to lose creativity in society all together.,0.5500,0.7800,0.8200,0.7200,0.7700,0.7600,0.8700,0.7400,0.7300,0.7400,0.7700,0.7700,0.7400,0.6700,0.7700,0.7600,0.7700,0.7100,0.7600,0.7600,0.7400,0.7700,0.7100,0.7700,0.7600,0.7700,0.6900,0.7600,0.8400,0.7400,0.8100,0.7900,0.7100,0.5500,0.6000,0.7100,0.8400,0.7900,0.9200,0.6200,0.7200
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario Two: Limited Power of AI and Growth of a New Way of Working in the Community for the Community,0.5500,0.7800,0.7100,0.7300,0.7800,0.8200,0.8700,0.7400,0.7300,0.7400,0.7400,0.7400,0.6800,0.7000,0.7200,0.7800,0.7600,0.7000,0.8000,0.6700,0.7300,0.7800,0.6800,0.7400,0.7700,0.7600,0.7000,0.7600,0.8400,0.7400,0.8000,0.7700,0.7600,0.5500,0.5500,0.7200,0.8800,0.7800,0.8300,0.6400,0.7200
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,scenario 2 would be better. I'm a creative type who does not feel attached to the idea of staying at the same company for my entire professional life. I'd like the ability to move between jobs without working about money,0.5500,0.7900,0.7500,0.7400,0.7700,0.8200,0.7300,0.7400,0.7400,0.7100,0.7400,0.7700,0.6500,0.7300,0.7600,0.7700,0.7500,0.7100,0.8100,0.7100,0.7400,0.7600,0.7300,0.7600,0.7500,0.7600,0.6900,0.7600,0.8400,0.7400,0.7900,0.7700,0.7400,0.5500,0.6500,0.7100,0.8800,0.7700,0.8800,0.6200,0.7500
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"2 - both choices have flaws but I believe repetitive work is for AI. Human can create more while mundane, none essential tasks can be delegated to AI. Also, I don't like the idea of big company playing monopoly.",0.5500,0.7900,0.7100,0.7400,0.7600,0.8200,0.7300,0.7500,0.7200,0.7100,0.7400,0.7700,0.6500,0.7300,0.7600,0.7800,0.7500,0.6900,0.8200,0.6700,0.7400,0.7700,0.7100,0.7600,0.7600,0.7600,0.6900,0.7600,0.8100,0.7400,0.7900,0.7700,0.7400,0.5500,0.6000,0.7100,0.8700,0.7700,0.8800,0.6200,0.7500
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"Not necessarily, I'm not sure, my neighbors are elderly, they might prefer help from real people",0.5300,0.6800,0.6400,0.5500,0.6400,0.6500,0.6900,0.5300,0.5800,0.6500,0.6000,0.6600,0.5900,0.6400,0.6700,0.6200,0.6200,0.5400,0.6900,0.6700,0.6400,0.5900,0.6100,0.6200,0.6100,0.6600,0.6300,0.5500,0.5500,0.6200,0.6000,0.6000,0.6400,0.6000,0.6500,0.6200,0.6800,0.6600,0.5400,0.6000,0.6100
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,Maybe not as I live in an Indian society where ai is still developing at its early stage so for now they might not want this kind of future but with the gaining experience they might want to try it,0.5200,0.6400,0.6800,0.6000,0.6100,0.5900,0.5600,0.6100,0.5600,0.6800,0.6200,0.6600,0.5900,0.5500,0.6800,0.6300,0.6300,0.5200,0.6200,0.6700,0.6200,0.6100,0.6200,0.6200,0.6100,0.6400,0.6300,0.5600,0.5500,0.6700,0.6000,0.5700,0.5600,0.5500,0.7000,0.5400,0.6700,0.6200,0.5400,0.5800,0.6700
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,I'm unsure. Though I rarely socialized with my neighbor. We live in deleoping country with partial interest in using technology directly. Most of us don't know how to use the benefit of tech.,0.5100,0.6700,0.6400,0.5400,0.6400,0.7100,0.6900,0.5100,0.5500,0.6500,0.6100,0.6700,0.5900,0.7000,0.6700,0.6200,0.6300,0.5400,0.6800,0.6700,0.6400,0.5900,0.6100,0.6200,0.6100,0.6600,0.6300,0.5300,0.5500,0.6100,0.6100,0.6000,0.6600,0.5500,0.6000,0.6200,0.6900,0.6600,0.5400,0.5800,0.6400
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"I don't think so, they are older people and I think they will have a more closed view on the matter.",0.5100,0.6400,0.5700,0.5500,0.6200,0.6500,0.6300,0.5100,0.5200,0.6100,0.6200,0.6100,0.5900,0.7300,0.6100,0.6200,0.6200,0.5300,0.6600,0.6200,0.6300,0.5800,0.5900,0.6400,0.5900,0.6300,0.6800,0.5400,0.5500,0.5900,0.6300,0.6000,0.6400,0.5500,0.6500,0.6000,0.7200,0.6500,0.5400,0.5600,0.7200
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"I don't think so. I come from a city with a small community and accustomed to human company, where this factor is more important to everyone than AI.",0.5000,0.6100,0.5700,0.5400,0.5900,0.7600,0.6900,0.5200,0.5000,0.7100,0.6200,0.6400,0.5600,0.6100,0.6200,0.6000,0.6100,0.5200,0.6200,0.6200,0.6100,0.5700,0.5900,0.6200,0.5800,0.6300,0.5900,0.5400,0.5800,0.6100,0.5800,0.5700,0.6100,0.5000,0.6500,0.6500,0.6500,0.6100,0.5000,0.5600,0.6700
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"My neighbor are old people with traditional outlook in life. If explained the advantages, they may want certain aspects of it. But to give AI the power to make a call on one's final stage is not what they'd want.",0.5000,0.6400,0.6800,0.5500,0.6300,0.7100,0.6300,0.5400,0.5600,0.7400,0.6400,0.6400,0.6500,0.6100,0.6300,0.6300,0.6400,0.5200,0.6200,0.7100,0.6300,0.6000,0.6000,0.6300,0.6100,0.6400,0.6300,0.5700,0.5800,0.6300,0.6200,0.5900,0.6400,0.5000,0.6500,0.6300,0.6900,0.6500,0.5000,0.5600,0.6400
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"I live in a modern world, my neighbors don't. I am more open to the new world, but my neighbors still choose the traditional way. This is because of their educational background and someone's curiosity. Moreover, we live in a village and a developing country. It is very difficult to make neighbors understand what AI is.",0.5000,0.6400,0.5700,0.5100,0.6000,0.7100,0.6900,0.5000,0.5100,0.7100,0.6000,0.6200,0.5300,0.5800,0.6100,0.6000,0.6000,0.5100,0.6600,0.6200,0.6100,0.5600,0.6100,0.5800,0.5900,0.6100,0.6000,0.5500,0.5800,0.5900,0.5600,0.5700,0.6100,0.5000,0.7000,0.6500,0.6600,0.6200,0.5000,0.5300,0.6400
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"I think he'd resist at first, since he's a person from a different era with a different way of thinking about technology. His final decision on whether or not to accept the use of AI will depend on how much its use affects his life.",0.5000,0.6300,0.6800,0.5600,0.6200,0.7100,0.6300,0.5500,0.5300,0.7400,0.6200,0.6600,0.5900,0.6100,0.6600,0.6300,0.6400,0.5100,0.6100,0.7100,0.6300,0.5900,0.6000,0.6200,0.6100,0.6400,0.6300,0.5500,0.6100,0.6300,0.6100,0.5800,0.6400,0.5000,0.6500,0.6200,0.6900,0.6500,0.5000,0.5300,0.6100
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,I don’t think my neighbors want this kind of future. They may not think that AI can help them. They may not even think that mental illness is serious. They just think it’s caused by idleness or pretending. The large-scale coverage of AI requires the cognition of most people to be improved accordingly.,0.5000,0.6200,0.6100,0.5500,0.6000,0.7100,0.6900,0.5500,0.5000,0.7100,0.5900,0.6300,0.5000,0.5800,0.6200,0.6000,0.6100,0.5300,0.6200,0.6700,0.6100,0.5800,0.6000,0.6000,0.5900,0.6200,0.5900,0.5500,0.6100,0.6100,0.5800,0.5600,0.6200,0.5000,0.6500,0.6500,0.6700,0.6100,0.5000,0.5600,0.6400
33d71c79-81fb-430a-8dba-0709dd93f1cb,Think about your neighbor - do you think your neighbor would want this future and why?,"I think that we also primarily need human care and subtleties, especially in the area of health. Because of this, and also because my neighbors are elderly, I believe that fear of artificial intelligence would not make them want this future.",0.5000,0.6200,0.5700,0.5500,0.6200,0.7600,0.7500,0.5200,0.5200,0.6800,0.6200,0.6400,0.5900,0.6700,0.6200,0.6200,0.6200,0.5400,0.6400,0.5700,0.6200,0.5800,0.6000,0.6200,0.6000,0.6400,0.6300,0.5400,0.5200,0.6000,0.6100,0.6000,0.6400,0.5000,0.7000,0.6300,0.6700,0.6500,0.5000,0.5300,0.6700
52e883fc-9719-40e2-bc12-ae84c4ac5b27,Please explain whether you agree or disagree and why.,"It affects someone's money, they must be informed.",0.4800,0.5800,0.5600,0.5500,0.5500,0.6300,0.5300,0.5600,0.4800,0.6100,0.6000,0.5700,0.5900,0.5200,0.5500,0.5700,0.5500,0.5700,0.5900,0.5500,0.5700,0.5600,0.4800,0.5500,0.5800,0.5500,0.5700,0.5800,0.4800,0.6000,0.5000,0.5500,0.5600,0.6800,0.6000,0.6000,0.6200,0.5400,0.5400,0.6600,0.6300
