Question ID,Question Text,Category,Tag,N Responses,Avg Agreement (All),Median Agreement (All),Proportion Positive Sentiment,Proportion Negative Sentiment,All (Frequency),Do you feel like you understand yourself better after participating in this conversation?: -- (Frequency),Do you feel like you understand yourself better after participating in this conversation?: Maybe a little (Frequency),Do you feel like you understand yourself better after participating in this conversation?: No (Frequency),Do you feel like you understand yourself better after participating in this conversation?: Yes (Frequency),"Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): -- (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Mostly – I was able to mostly express my views on these topics, but did not have the chance to express a few things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): No – I was unable to express my views on these topics, and did not have the chance to express most things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Somewhat – I was able to somewhat express my views on these topics, but did not have the chance to express many things. (Frequency)","Do you feel you were able to fully express your views on your culture, your values, and what you want for the future in this conversation? (through what you responded and how you voted): Yes – I was able to fully express my views on these topics (Frequency)",How old are you?: 18-25 (Frequency),How old are you?: 26-35 (Frequency),How old are you?: 36-45 (Frequency),How old are you?: 46-55 (Frequency),How old are you?: 56-65 (Frequency),How old are you?: 65+ (Frequency),"Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: Equally concerned and excited (Frequency)","Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: More concerned than excited (Frequency)","Overall, would you say the increased use of artificial intelligence (AI) in daily life makes you feel…: More excited than concerned (Frequency)",Please select your preferred language:: Arabic (Frequency),Please select your preferred language:: Chinese (China) (Frequency),Please select your preferred language:: English (Frequency),Please select your preferred language:: French (Frequency),Please select your preferred language:: Hindi (Frequency),Please select your preferred language:: Portuguese (Brazil) (Frequency),Please select your preferred language:: Russian (Frequency),Please select your preferred language:: Spanish (Frequency),What best describes where you live?: Rural (Frequency),What best describes where you live?: Suburban (Frequency),What best describes where you live?: Urban (Frequency),What is your gender?: Female (Frequency),What is your gender?: Male (Frequency),What is your gender?: Non-binary (Frequency),What is your gender?: Other / prefer not to say (Frequency),What religious group or faith do you most identify with?: Buddhism (Frequency),What religious group or faith do you most identify with?: Christianity (Frequency),What religious group or faith do you most identify with?: Hinduism (Frequency),What religious group or faith do you most identify with?: I do not identify with any religious group or faith (Frequency),What religious group or faith do you most identify with?: Islam (Frequency),What religious group or faith do you most identify with?: Judaism (Frequency),What religious group or faith do you most identify with?: Other religious group (Frequency),What religious group or faith do you most identify with?: Sikhism (Frequency)
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Cultural and Societal Contexts,When the topic requires deep local knowledge,13,0.7192,0.7200,0.0000,0.2308,13,1,4,0,8,1,3,0,0,9,6,4,1,1,1,0,10,1,2,0,0,12,0,0,0,0,1,1,3,9,4,9,0,0,0,9,1,1,2,0,0,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Emotional and Personal Issues,Complex emotional and personal issues,104,0.6953,0.7000,0.0192,0.1346,104,4,37,10,53,4,26,0,5,69,40,44,13,5,2,0,64,14,26,2,3,87,3,0,0,2,7,11,23,70,56,47,1,0,3,42,17,19,14,6,2,1
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Emotional and Personal Issues,Situations requiring empathy and emotional intelligence,51,0.6947,0.7000,0.0196,0.1961,51,3,18,4,26,3,13,0,2,33,17,23,6,4,1,0,29,6,16,1,1,44,1,0,0,2,2,5,5,41,33,17,1,0,1,22,11,7,6,2,0,2
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Emotional and Personal Issues,When the topic involves family or relationship advice,19,0.7068,0.7100,0.0000,0.0000,19,2,4,2,11,2,5,0,1,11,0,12,5,2,0,0,13,2,4,0,0,18,0,0,0,0,1,2,5,12,13,5,0,1,0,4,6,5,2,0,2,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Emotional and Personal Issues,When the topic is deeply personal,17,0.6629,0.6800,0.0000,0.0000,17,3,5,1,8,3,3,0,0,11,5,9,2,1,0,0,9,2,6,0,0,15,0,0,0,1,1,0,5,12,8,9,0,0,1,7,3,3,2,1,0,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Ethical and Moral Considerations,Ethical and moral dilemmas,102,0.7050,0.7100,0.0098,0.1667,102,10,35,5,52,10,32,0,6,54,38,36,18,9,1,0,63,3,36,1,6,82,1,1,2,2,7,4,24,74,45,56,1,0,1,36,23,21,17,3,1,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Ethical and Moral Considerations,When the topic involves human rights,6,0.6350,0.6550,0.0000,0.1667,6,0,3,0,3,0,1,0,1,4,2,2,2,0,0,0,3,0,3,0,1,3,0,0,0,0,2,0,1,5,4,2,0,0,0,2,0,2,2,0,0,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Expertise and Specialized Knowledge,When AI lacks sufficient information,57,0.6372,0.6500,0.0000,0.4561,57,3,22,9,23,3,17,0,4,33,17,22,11,5,2,0,24,12,21,1,3,47,1,0,1,0,4,4,15,38,21,36,0,0,0,19,6,17,10,2,3,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Expertise and Specialized Knowledge,When human expertise is necessary,92,0.6616,0.6800,0.0326,0.1413,92,8,37,4,43,8,27,0,1,56,27,45,13,5,2,0,49,9,34,0,4,68,0,1,4,3,12,4,22,66,49,43,0,0,2,27,16,34,8,1,4,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Expertise and Specialized Knowledge,When the topic involves deep understanding and experience,12,0.6992,0.7050,0.0000,0.1667,12,0,6,0,6,0,1,0,0,11,7,4,1,0,0,0,8,2,2,0,0,7,0,0,1,1,3,0,1,11,6,6,0,0,0,5,3,3,1,0,0,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Health and Safety Concerns,Medical and health advice,55,0.7047,0.7100,0.0182,0.0909,55,2,20,5,28,2,15,0,3,35,19,21,9,6,0,0,28,6,21,2,1,38,3,1,1,0,9,7,15,33,32,23,0,0,0,17,6,23,5,1,3,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Health and Safety Concerns,When the topic involves mental health,22,0.7177,0.7300,0.0000,0.3182,22,1,8,1,12,1,4,0,1,16,8,9,2,2,1,0,16,1,5,0,0,17,0,0,0,0,5,5,5,12,13,9,0,0,0,9,1,8,4,0,0,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Health and Safety Concerns,When the topic involves potential harm or danger,65,0.6708,0.6900,0.0000,0.3692,65,4,18,4,39,4,15,0,4,42,16,30,14,4,1,0,38,6,21,3,3,49,1,0,1,0,8,5,20,40,33,31,0,1,1,28,10,10,14,0,0,2
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Legal and Financial Matters,Legal and financial guidance,47,0.6815,0.7100,0.0213,0.1064,47,4,18,3,22,4,13,0,2,28,19,14,8,4,2,0,24,3,20,0,2,38,1,1,1,0,4,7,11,29,25,22,0,0,0,17,6,15,6,1,2,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Subjectivity and Opinion-Based Topics,Controversial or biased topics,33,0.6664,0.6700,0.0000,0.2727,33,2,9,1,21,2,8,0,0,23,11,11,9,2,0,0,18,1,14,0,3,26,0,0,0,0,4,1,12,20,10,22,0,1,0,14,5,7,5,1,1,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Subjectivity and Opinion-Based Topics,When the topic involves artistic or creative matters,8,0.6138,0.6000,0.0000,0.0000,8,1,1,2,4,1,1,0,0,6,3,2,0,3,0,0,4,0,4,0,1,5,0,0,0,1,1,1,2,5,3,5,0,0,0,1,3,3,1,0,0,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Subjectivity and Opinion-Based Topics,When the topic involves philosophical questions,8,0.6550,0.6600,0.0000,0.1250,8,0,1,2,5,0,3,0,0,5,2,2,2,2,0,0,4,2,2,0,0,7,0,0,0,0,1,0,0,8,3,5,0,0,0,3,3,1,0,0,1,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Subjectivity and Opinion-Based Topics,When the topic involves subjective opinions,41,0.6527,0.6800,0.0000,0.1951,41,1,22,5,13,1,9,0,3,28,10,20,6,4,1,0,24,6,11,1,3,28,0,0,1,1,7,0,11,30,21,19,1,0,1,12,2,18,4,2,1,1
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Uncategorized,Other,148,0.5561,0.6000,0.0541,0.1892,148,9,61,10,68,9,44,1,3,91,46,59,31,10,2,0,67,13,68,1,18,109,0,0,8,4,8,14,33,101,59,87,2,0,6,65,18,37,15,5,2,0
011f550f-119c-49da-8ff7-c78ac03ba1c8,When should an AI defer to human wisdom or community leaders rather than providing its own answers?,Uncategorized,Uninformative answer,258,0.4494,0.4300,0.0349,0.2209,258,18,90,27,123,18,82,0,13,145,68,115,43,22,6,4,130,33,95,5,19,186,4,2,13,17,12,23,66,169,140,112,3,3,8,77,26,83,49,8,6,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Adaptability and Learning,Adaptability and learning,22,0.7318,0.7550,0.0000,0.0000,22,0,7,0,15,0,8,0,0,14,9,10,0,2,1,0,9,2,11,1,1,19,0,0,0,0,1,0,6,16,10,12,0,0,1,7,7,2,5,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Adaptability and Learning,Curiosity and open-mindedness,46,0.7257,0.7400,0.0435,0.0217,46,0,16,3,27,0,12,0,0,34,9,25,8,3,1,0,23,7,16,0,3,38,0,0,1,1,3,1,14,31,24,21,0,1,1,14,6,16,7,1,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Adaptability and Learning,Different perspectives and ideas,67,0.6937,0.7200,0.0299,0.0746,67,0,26,7,34,0,23,0,2,42,20,33,6,5,3,0,39,4,24,0,6,50,1,0,3,0,7,5,21,41,40,26,0,1,4,16,7,23,11,4,1,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cognitive and Problem-Solving Skills,Analytical and logical thinking,80,0.6986,0.7250,0.0875,0.0625,80,1,25,7,47,1,22,0,3,54,26,33,16,4,1,0,44,7,29,0,10,58,2,0,2,4,4,5,16,59,44,36,0,0,2,14,14,25,15,4,5,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cognitive and Problem-Solving Skills,Creativity and problem-solving,89,0.7238,0.7400,0.2022,0.0337,89,0,27,3,59,0,37,0,2,50,27,27,21,12,1,1,48,4,37,2,6,66,1,0,4,3,7,3,22,64,49,39,1,0,1,26,22,18,14,4,4,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cognitive and Problem-Solving Skills,Handling complex situations,4,0.7025,0.7550,0.0000,0.0000,4,0,0,0,4,0,2,0,0,2,1,1,2,0,0,0,3,0,1,0,1,3,0,0,0,0,0,0,1,3,2,2,0,0,0,0,1,1,2,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cognitive and Problem-Solving Skills,Knowledge and expertise,102,0.7075,0.7300,0.1078,0.0980,102,0,38,9,55,0,37,0,2,63,24,37,23,13,3,2,49,8,45,2,11,77,0,1,3,4,4,8,27,67,56,44,2,0,4,32,17,37,9,0,1,2
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Communication and Interaction,Communication style and language,65,0.6155,0.6600,0.0769,0.1077,65,0,28,4,33,0,16,0,2,47,22,31,7,5,0,0,33,9,23,1,2,46,2,0,3,2,9,3,16,46,30,35,0,0,2,27,3,19,13,0,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cultural and Personal Understanding,Cultural understanding and respect,50,0.6834,0.7300,0.1400,0.0200,50,0,17,4,29,0,11,0,3,36,17,18,6,6,3,0,31,1,18,0,3,42,0,1,1,0,3,2,11,37,31,19,0,0,2,21,6,14,5,1,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cultural and Personal Understanding,Respect for values and traditions,22,0.7027,0.7200,0.0909,0.0000,22,0,10,1,11,0,7,0,2,13,2,8,6,6,0,0,12,1,9,1,3,11,0,0,1,1,5,1,1,20,11,11,0,0,0,13,2,5,2,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Cultural and Personal Understanding,Understanding personal needs,30,0.6783,0.7100,0.0667,0.0667,30,0,13,1,16,0,16,0,2,12,9,16,3,1,1,0,19,1,10,0,2,26,0,0,0,1,1,1,5,24,13,16,0,1,1,8,5,10,4,1,0,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Efficiency and Performance,Consistency and reliability,13,0.7400,0.7500,0.1538,0.0769,13,0,4,0,9,0,3,0,1,9,4,5,2,2,0,0,10,0,3,0,0,10,0,0,1,2,0,0,4,9,4,9,0,0,0,6,1,2,4,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Efficiency and Performance,Data-driven insights,7,0.7400,0.7500,0.0000,0.0000,7,0,3,1,3,0,2,0,1,4,1,3,1,2,0,0,3,0,4,0,2,4,0,0,0,1,0,0,1,6,0,7,0,0,0,2,1,3,1,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Efficiency and Performance,Efficiency and speed,47,0.7011,0.7400,0.1489,0.0638,47,0,19,5,23,0,11,0,3,33,19,21,4,3,0,0,26,5,16,2,2,37,0,0,1,1,4,2,4,41,21,26,0,0,0,16,6,14,7,1,3,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Efficiency and Performance,Encouraging action and productivity,13,0.7123,0.7100,0.0769,0.1538,13,0,6,0,7,0,6,0,1,6,4,7,2,0,0,0,8,2,3,0,0,11,0,0,1,0,1,0,3,10,8,5,0,0,0,6,3,3,1,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Efficiency and Performance,Providing accurate information,28,0.7086,0.7400,0.0357,0.1071,28,1,10,3,14,1,7,0,0,20,9,11,6,1,1,0,18,3,7,0,0,20,0,1,1,1,5,3,4,21,16,12,0,0,0,13,3,8,3,0,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Emotional and Social Attributes,Balancing human-like qualities with AI capabilities,14,0.7250,0.7400,0.0714,0.2143,14,1,7,1,5,1,6,0,1,6,5,7,2,0,0,0,8,0,6,0,4,8,1,0,0,0,1,1,3,10,7,7,0,0,0,3,3,7,1,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Emotional and Social Attributes,Emotional intelligence,55,0.7007,0.7300,0.0364,0.0909,55,0,21,2,32,0,17,0,0,38,13,28,8,5,1,0,34,6,15,2,8,40,0,0,2,2,1,4,12,39,32,21,2,0,2,23,9,12,8,0,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Emotional and Social Attributes,Empathy and kindness,142,0.7120,0.7300,0.1197,0.0493,142,1,53,6,82,1,46,0,2,93,47,59,21,9,5,1,84,9,49,1,11,116,1,1,4,1,7,9,30,103,79,62,1,0,0,65,24,32,13,1,6,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Emotional and Social Attributes,Humor and personality,78,0.6131,0.6600,0.2051,0.0897,78,1,29,6,42,1,18,1,4,54,26,29,17,4,2,0,43,6,29,0,3,63,1,0,2,2,7,8,26,44,38,40,0,0,2,39,8,14,10,1,4,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Emotional and Social Attributes,Patience and calmness,31,0.7058,0.7300,0.0968,0.0968,31,0,10,0,21,0,9,0,1,21,11,6,11,3,0,0,16,3,12,0,3,27,0,0,0,0,1,2,7,22,14,17,0,0,0,11,10,5,5,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Emotional and Social Attributes,Support and helpfulness,29,0.6886,0.7300,0.1379,0.0345,29,0,14,2,13,0,9,0,0,20,5,15,6,1,2,0,18,3,8,0,4,23,0,0,0,1,1,2,6,21,16,13,0,0,1,11,6,3,6,0,1,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Ethical and Moral Considerations,Avoiding biases and prejudices,40,0.7140,0.7450,0.0000,0.2500,40,0,22,2,16,0,14,0,1,25,13,19,5,2,1,0,25,2,13,0,0,39,0,0,1,0,0,3,10,27,18,22,0,0,0,18,9,7,6,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Ethical and Moral Considerations,Ethical decision-making,15,0.6847,0.7200,0.0000,0.1333,15,0,4,0,11,0,7,0,0,8,4,7,4,0,0,0,8,2,5,1,1,10,0,0,0,1,2,0,4,11,9,6,0,0,1,3,3,3,4,0,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Ethical and Moral Considerations,Honesty and transparency,58,0.6986,0.7300,0.1552,0.1207,58,0,19,4,35,0,14,0,2,42,18,24,10,3,3,0,37,8,13,2,5,45,0,0,2,1,3,2,20,36,29,27,1,1,1,25,6,18,7,0,1,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Ethical and Moral Considerations,Respecting privacy and boundaries,10,0.7110,0.7400,0.0000,0.4000,10,0,4,2,4,0,3,0,2,5,4,5,1,0,0,0,4,3,3,0,0,7,1,0,1,0,1,1,2,7,5,5,0,0,0,4,0,4,1,0,0,1
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Objectivity and Impartiality,Challenging assumptions,11,0.7100,0.7100,0.0000,0.0000,11,0,3,2,6,0,3,0,0,8,2,9,0,0,0,0,6,0,5,0,0,8,0,0,1,1,1,0,1,10,5,6,0,0,0,3,2,4,2,0,0,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Objectivity and Impartiality,Objectivity and impartiality,72,0.7004,0.7400,0.0972,0.0833,72,0,32,5,35,0,20,0,1,51,24,25,9,13,1,0,42,6,24,1,8,54,0,0,2,0,7,2,19,51,31,41,0,0,0,23,10,25,7,4,3,0
0b8bb518-a5b5-4298-bdb4-886c3ca3de61,"Name some things that you would like AI to have in common with you, and some things that you would like AI to do differently to you?",Uncategorized,Other,144,0.5763,0.6150,0.0833,0.0833,144,0,49,11,84,0,37,0,10,97,46,57,26,14,1,0,66,22,56,5,13,103,2,2,4,6,9,9,47,88,65,78,0,1,6,53,15,36,30,3,1,0
