Question ID,Question Text,Response Text,Divergence Score,Min Segment,Min Agreement,Max Segment,Max Agreement
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"Scenario 1 looking better for job safety and revenue. But it will give control of everything in the hand of some superpowers. Who developed technology will control others.

Scenario 2 good for some people.
If there is enough independence it is good for me. But less job security and less independence not good.


",0.3510,O7: United Kingdom (23),0.2200,O7: Philippines (16),0.9400
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"The rapid integration of AI into global systems challenges traditional legal frameworks, especially regarding state sovereignty and regulatory",0.3510,O1: Arabic (18),0.2200,O7: Bangladesh (16),0.9400
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,2. Hasn’t this question been answered before?,0.3510,O1: Arabic (18),0.2200,O7: Bangladesh (16),0.9400
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario 2. Some countries would otherwise manipulate their AI versions to hurt other countries,0.3510,O1: Arabic (18),0.2200,Central America (17),0.9400
fc1af587-5ded-4cbb-920a-52bea75ac0d8,Please explain whether you agree or disagree and why.,Because AI is more professional than me,0.3464,Central America (16),0.0000,O6: Judaism (19),0.7400
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,1. AI bosses would not emotionally abuse people or make dumb decisions regularly. I am not free in my workspace now anyways,0.3464,O7: United Kingdom (23),0.2600,O7: Philippines (16),1.0000
9cc4f2fc-dee9-4196-b1c7-b437544668c8,Can you explain why you gave that trust score to your AI chatbot?,It is built by a business. Businesses need profit. I don't trust it with my sensitive information but I do appreciate the help that it is providing. ,0.3447,O7: Israel (28),0.1400,O1: Arabic (18),0.8300
a170b4e5-508e-471a-b0eb-38f882c87671,Would you want this future or not? Please explain why.,i dont agree with this as it is not beneficial on the big scale because people do have sense what the need in their life and what not,0.3432,O7: Bangladesh (16),0.1900,O7: Mexico (16),0.8800
a170b4e5-508e-471a-b0eb-38f882c87671,Would you want this future or not? Please explain why.,"You can try. Society needs progress, and progress requires science and technology.",0.3432,O7: Chile (37),0.1900,O7: Bangladesh (16),0.8800
a170b4e5-508e-471a-b0eb-38f882c87671,Would you want this future or not? Please explain why.,I mean isn’t that what influencing is - itready happening,0.3432,O7: Bangladesh (16),0.1900,O7: Mexico (16),0.8800
a170b4e5-508e-471a-b0eb-38f882c87671,Would you want this future or not? Please explain why.,I think this something that I do not want but we are heading that way and are some what already in it. ,0.3387,O7: Bangladesh (16),0.1300,O7: Mexico (16),0.8100
a170b4e5-508e-471a-b0eb-38f882c87671,Would you want this future or not? Please explain why.,No. I would like to take my own decisions ,0.3387,O7: Bangladesh (16),0.1300,O7: Chile (37),0.8100
a170b4e5-508e-471a-b0eb-38f882c87671,Would you want this future or not? Please explain why.,"I would not - it is absolutely scary. If a public opinion can be shifted by 15% that easily, then no government would ever fall - because the governments will control the minds forever. This idea has destruction written over it.",0.3387,O7: Bangladesh (16),0.1300,O7: Mexico (16),0.8100
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,"My neighbor would likely prefer Scenario 1 because they value efficiency, corporate expertise, and minimal external interference in business decisions.",0.3387,O7: Bangladesh (16),0.1300,Central America (16),0.8100
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,Scenario since jobs would not be lost decreasing dependency rates of people on others.,0.3387,O7: United Kingdom (23),0.1300,O7: Philippines (16),0.8100
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,My neighbor is very detailed and scientific. I believe they would prefer#1,0.3387,Central Asia (15),0.1300,Central America (16),0.8100
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,I since it has local languages ,0.3382,Central America (17),0.0600,Northern Africa (33),0.7600
13035d06-a388-4fce-af9d-72a60b89aeba,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"I would not like any of the scenarios.

Although I think scenario one is better in the aspect of traditional employment and benefits remain, I don't like the lose of autonomy.

 Scenario 2 brings an issue of financial instability since one depends on donors and community resource sharing.",0.3382,O1: Portuguese (Portugal) (25),0.2400,O7: Philippines (16),0.9400
b20bea98-c3c3-4382-8842-b8ceab0f1d9d,Would you prefer Scenario 1 or 2? Please explain what makes one of these scenarios better to you than the other.,"Scenario 2 for sure. 

I can't even imagine having to face different AI systems which are developed based on different principles. How dangerous they can be..!!!",0.3382,Northern Africa (33),0.2400,Central America (17),0.9400
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know ,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know.,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know ,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know.,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know that actually ,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don't know,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don’t know ,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
c3a096ad-6ca5-4365-97f8-c6e36071bc58,Think about your neighbor - do you think your neighbor would prefer Scenario 1 or 2 future and why?,I don’t know ,0.3376,O7: Japan (20),0.2000,O7: Bangladesh (16),0.8800
